Dropzone Name,,State/County,Country,Address
Abu Dhabi Skydive,Abu Dhabi,,United Arab Emirates,Abu Dhabi Sports Aviation Club
Aerohio Skydiving Center,Ashland,OH,United States,Ashland County Airport
Air Bears - Skydiving Club at Berkeley,Berkeley,CA,United States,Yolo County Airport
Air Play Parachutisme,Cannes,,France,Fayence-Tourettes Airfield
Airborne Petawawa,Petawawa,,Canada,Pembroke Area Airport
Aircrew & Airfox Skydiving Academy,Frankfurt,,Germany,
Aire Skydive,Medellin,Yolombo,Colombia,EOH Airport
Alaska Skydive Center,Anchorage,AK,United States,Palmer Municipal Airport
Alberta Skydive Central,Edmonton,,Canada,Westlock Airport
Alliance Sport Parachute Club,Pittsburgh,PA,United States,Petersburg Airport
Bay Area Skydiving,San Francisco,CA,United States,Byron Airport
Beni Mellal DZ,Beni Mellal,,Morocco,Beni Mellal Airport
Big Island Gravity,Kailua Kona,HI,United States,Upolu Airport Hawi
Blue Skies Skydiving Club,Indianapolis,IN,United States,Frankfort Municipal Airport
Blue Sky Ranch,New York,NY,United States,Gardiner Airport
Body Fly University,Reggio Emilia,,Italy,Teodore Airport
Boston Skydive Center,Providence,RI,United States,North Central State Airport
BT Chengdu Skydive,Chengdu,Chongzhou,China,Chengzhou Haoyun Airport
Canton Air Sports,Akron,OH,United States,Barber Airport Alliance
Chattanooga Skydiving Company,Chattanooga,TN,United States,Marion County Airport
Chicagoland Skydiving Center,Rochelle,IL,United States,Rochelle Municipal Airport
Chicagoland Skydiving Center,Chicago,IL,United States,Krentz Field Rochelle
China Skydivers-Yingfei,Guangzhou,Guangdong,China,Tiantang Airport 
Cleveland Skydiving Center,Cleveland,OH,United States,Gates Airport
Cloud Chasers,Slidell,LA,United States,Slidell Municipal Airport
Complete Parachute Solutions Bishop,Bishop,CA,United States,Bishop Airport
Complete Parachute Solutions Tactical Training Facility,Coolidge,AZ,United States,Coolidge Municipal Airport     
Condor de los Andes,Quito,,Ecuador,Pista La Celeste Airport La Concordia  
Connecticut Parachutists Inc.,Hartford,CT,United States,Ellington Airport      
Crystal Coast Skydiving,Beaufort,NC,United States,Michael J Smith Field Beaufort   
Des Moines Skydivers,Des Moines,IA,United States,Knoxville Municipal Airport     
Desafio Vertical,Jaco,,Costa Rica,Tambor       
Dropzone Denmark,Aarhus,,Denmark,Herning Airport      
Dropzone Prostejov,Brno,,Czech Republic,Prostejov Airport      
Dropzone Thailand Co. Ltd,Bangkok,,Thailand,Dropzone Airfield Klaeng District    
DZ Pribram,Prague,,Czech Republic,Pribram       
DZONE Skydiving-Boise,Boise,ID,United States,Parma Municipal Airport     
DZONE Skydiving-Bozeman,Bozeman,MT,United States,Fairfield Airport Three Forks    
